,date,wind_code
1,2006/1/1 00:00,0001.HK
2,2006/1/1 00:00,0002.HK
3,2006/1/1 00:00,0003.HK
4,2006/1/1 00:00,0004.HK
5,2006/1/1 00:00,0005.HK
6,2006/1/1 00:00,0006.HK
7,2006/1/1 00:00,0008.HK
8,2006/1/1 00:00,0011.HK
9,2006/1/1 00:00,0012.HK
10,2006/1/1 00:00,0013!1.HK
11,2006/1/1 00:00,0016.HK
12,2006/1/1 00:00,0017.HK
13,2006/1/1 00:00,0019.HK
14,2006/1/1 00:00,0023.HK
15,2006/1/1 00:00,0066.HK
16,2006/1/1 00:00,0083.HK
17,2006/1/1 00:00,0101.HK
18,2006/1/1 00:00,0144.HK
19,2006/1/1 00:00,0179.HK
20,2006/1/1 00:00,0203.HK
21,2006/1/1 00:00,0267.HK
22,2006/1/1 00:00,0291.HK
23,2006/1/1 00:00,0293.HK
24,2006/1/1 00:00,0330.HK
25,2006/1/1 00:00,0494.HK
26,2006/1/1 00:00,0551.HK
27,2006/1/1 00:00,0762.HK
28,2006/1/1 00:00,0883.HK
29,2006/1/1 00:00,0941.HK
30,2006/1/1 00:00,0992.HK
31,2006/1/1 00:00,1038.HK
32,2006/1/1 00:00,1199.HK
33,2006/1/1 00:00,2388.HK
