,date,wind_code
1,2006/1/1 00:00,1332.T
2,2006/1/1 00:00,1721.T
3,2006/1/1 00:00,1801.T
4,2006/1/1 00:00,1802.T
5,2006/1/1 00:00,1803.T
6,2006/1/1 00:00,1812.T
7,2006/1/1 00:00,1861.T
8,2006/1/1 00:00,1925.T
9,2006/1/1 00:00,1928.T
10,2006/1/1 00:00,1963.T
11,2006/1/1 00:00,2001.T
12,2006/1/1 00:00,2002.T
13,2006/1/1 00:00,2282.T
14,2006/1/1 00:00,2501.T
15,2006/1/1 00:00,2502.T
16,2006/1/1 00:00,2503.T
17,2006/1/1 00:00,2531.T
18,2006/1/1 00:00,2602.T
19,2006/1/1 00:00,2768.T
20,2006/1/1 00:00,2801.T
21,2006/1/1 00:00,2802.T
22,2006/1/1 00:00,2871.T
23,2006/1/1 00:00,2914.T
24,2006/1/1 00:00,3101.T
25,2006/1/1 00:00,3103.T
26,2006/1/1 00:00,3105.T
27,2006/1/1 00:00,3110.T
28,2006/1/1 00:00,3382.T
29,2006/1/1 00:00,3401.T
30,2006/1/1 00:00,3402.T
31,2006/1/1 00:00,3405.T
32,2006/1/1 00:00,3407.T
33,2006/1/1 00:00,3861.T
34,2006/1/1 00:00,3864.T
35,2006/1/1 00:00,3865.T
36,2006/1/1 00:00,4004.T
37,2006/1/1 00:00,4005.T
38,2006/1/1 00:00,4021.T
39,2006/1/1 00:00,4041.T
40,2006/1/1 00:00,4042.T
41,2006/1/1 00:00,4045.T
42,2006/1/1 00:00,4061.T
43,2006/1/1 00:00,4063.T
44,2006/1/1 00:00,4151.T
45,2006/1/1 00:00,4183.T
46,2006/1/1 00:00,4188.T
47,2006/1/1 00:00,4208.T
48,2006/1/1 00:00,4272.T
49,2006/1/1 00:00,4324.T
50,2006/1/1 00:00,4452.T
51,2006/1/1 00:00,4502.T
52,2006/1/1 00:00,4503.T
53,2006/1/1 00:00,4506.T
54,2006/1/1 00:00,4507.T
55,2006/1/1 00:00,4519.T
56,2006/1/1 00:00,4523.T
57,2006/1/1 00:00,4543.T
58,2006/1/1 00:00,4568.T
59,2006/1/1 00:00,4689.T
60,2006/1/1 00:00,4704.T
61,2006/1/1 00:00,4901.T
62,2006/1/1 00:00,4902.T
63,2006/1/1 00:00,4911.T
64,2006/1/1 00:00,5101.T
65,2006/1/1 00:00,5108.T
66,2006/1/1 00:00,5201.T
67,2006/1/1 00:00,5202.T
68,2006/1/1 00:00,5232.T
69,2006/1/1 00:00,5233.T
70,2006/1/1 00:00,5301.T
71,2006/1/1 00:00,5332.T
72,2006/1/1 00:00,5333.T
73,2006/1/1 00:00,5401.T
74,2006/1/1 00:00,5406.T
75,2006/1/1 00:00,5411.T
76,2006/1/1 00:00,5631.T
77,2006/1/1 00:00,5706.T
78,2006/1/1 00:00,5707.T
79,2006/1/1 00:00,5711.T
80,2006/1/1 00:00,5713.T
81,2006/1/1 00:00,5714.T
82,2006/1/1 00:00,5715.T
83,2006/1/1 00:00,5801.T
84,2006/1/1 00:00,5802.T
85,2006/1/1 00:00,5803.T
86,2006/1/1 00:00,5901.T
87,2006/1/1 00:00,6103.T
88,2006/1/1 00:00,6301.T
89,2006/1/1 00:00,6302.T
90,2006/1/1 00:00,6326.T
91,2006/1/1 00:00,6361.T
92,2006/1/1 00:00,6366.T
93,2006/1/1 00:00,6367.T
94,2006/1/1 00:00,6471.T
95,2006/1/1 00:00,6472.T
96,2006/1/1 00:00,6473.T
97,2006/1/1 00:00,6479.T
98,2006/1/1 00:00,6501.T
99,2006/1/1 00:00,6503.T
100,2006/1/1 00:00,6504.T
101,2006/1/1 00:00,6508.T
102,2006/1/1 00:00,6674.T
103,2006/1/1 00:00,6701.T
104,2006/1/1 00:00,6702.T
105,2006/1/1 00:00,6703.T
106,2006/1/1 00:00,6752.T
107,2006/1/1 00:00,6753.T
108,2006/1/1 00:00,6758.T
109,2006/1/1 00:00,6762.T
110,2006/1/1 00:00,6770.T
111,2006/1/1 00:00,6841.T
112,2006/1/1 00:00,6857.T
113,2006/1/1 00:00,6902.T
114,2006/1/1 00:00,6952.T
115,2006/1/1 00:00,6954.T
116,2006/1/1 00:00,6971.T
117,2006/1/1 00:00,6976.T
118,2006/1/1 00:00,7003.T
119,2006/1/1 00:00,7004.T
120,2006/1/1 00:00,7011.T
121,2006/1/1 00:00,7012.T
122,2006/1/1 00:00,7013.T
123,2006/1/1 00:00,7201.T
